id_carte,code_set,numero,nom_fr,nom_en,type_carte,rarete,element,hp,talent_nom_fr,talent_effet_fr,attaque1_nom_fr,attaque1_cout,attaque1_degats,attaque1_effet_fr,attaque2_nom_fr,attaque2_cout,attaque2_degats,attaque2_effet_fr,faiblesse,retraite,illustrateur,image_url,source
PKT-A1-001,A1,1,Bulbizarre,Bulbasaur,pokemon,diamant,plante,70,,,Fouet Lianes,plante|incolore,40,,,,,,feu,1,Narumi Sato,https://assets.tcgdex.net/fr/tcgp/A1/001,pokekalos
PKT-A1-002,A1,2,Herbizarre,Ivysaur,pokemon,diamant,plante,90,,,Tranch'Herbe,plante|incolore|incolore,60,,,,,,feu,2,Kurata So,https://assets.tcgdex.net/fr/tcgp/A1/002,pokekalos
PKT-A1-003,A1,3,Florizarre,Venusaur,pokemon,diamant,plante,160,,,Méga-Sangsue,plante|plante|incolore|incolore,80,Soignez 30 dégâts de ce Pokémon.,,,,,feu,3,Ryota Murayama,https://assets.tcgdex.net/fr/tcgp/A1/003,pokekalos
PKT-A1-004,A1,4,Florizarre-ex,Venusaur ex,pokemon,diamant,plante,190,,,Tranch'Herbe,plante|incolore|incolore,60,,Pousse Géante,plante|plante|incolore|incolore,100,Soignez 30 dégâts de ce Pokémon.,feu,3,PLANETA CG Works,https://assets.tcgdex.net/fr/tcgp/A1/004,pokekalos
PKT-A1-005,A1,5,Chenipan,Caterpie,pokemon,diamant,plante,50,,,Trouver un Ami,incolore,,Ajoutez au hasard un Pokémon Plante de votre deck à votre main.,,,,,feu,1,Miki Tanaka,https://assets.tcgdex.net/fr/tcgp/A1/005,pokekalos
PKT-A1-006,A1,6,Chrysacier,Metapod,pokemon,diamant,plante,80,,,Piqûre,incolore|incolore,30,,,,,,feu,2,Yuka Morii,https://assets.tcgdex.net/fr/tcgp/A1/006,pokekalos
PKT-A1-007,A1,7,Papilusion,Butterfree,pokemon,diamant,plante,120,Soin Poudre,"Une fois pendant votre tour, vous pouvez soigner 20 dégâts de chacun de vos Pokémon.",Tornade,plante|incolore|incolore,60,,,,,,feu,1,Shin Nagasawa,https://assets.tcgdex.net/fr/tcgp/A1/007,pokekalos
PKT-A1-008,A1,8,Aspicot,Weedle,pokemon,diamant,plante,50,,,Dard,plante,20,,,,,,feu,1,Hajime Kusajima,https://assets.tcgdex.net/fr/tcgp/A1/008,pokekalos
PKT-A1-009,A1,9,Coconfort,Kakuna,pokemon,diamant,plante,80,,,Piqûre,plante,30,,,,,,feu,2,miki kudo,https://assets.tcgdex.net/fr/tcgp/A1/009,pokekalos
PKT-A1-010,A1,10,Dardargnan,Beedrill,pokemon,diamant,plante,120,,,Piqûre Pointue,plante,70,,,,,,feu,1,You Iribi,https://assets.tcgdex.net/fr/tcgp/A1/010,pokekalos
PKT-A1-011,A1,11,Mystherbe,Oddish,pokemon,diamant,plante,60,,,Collision,plante,20,,,,,,feu,1,HYOGONOSUKE,https://assets.tcgdex.net/fr/tcgp/A1/011,pokekalos
PKT-A1-012,A1,12,Ortide,Gloom,pokemon,diamant,plante,80,,,Gluant,plante|incolore,40,,,,,,feu,2,Anesaki Dynamic,https://assets.tcgdex.net/fr/tcgp/A1/012,pokekalos
